Topic,Count,Name,Representation,Representative_Docs
9,238,9_optionsflowwithconfigentry_config_configuration_configflow,"['optionsflowwithconfigentry', 'config', 'configuration', 'configflow', 'configflows', 'settings', 'configtype', 'selfconfig', 'reconfigure', 'configentry']","['There is no options flow', 'Use the config entry', 'get it from the config entry']"
10,219,10_default_defaults_setting_option,"['default', 'defaults', 'setting', 'option', 'enabled', 'normal', 'options', 'disable', 'specify', 'optional']","['That is the default', 'This is the default.', 'This is the default.']"
11,200,11_testing_test_tests_tested,"['testing', 'test', 'tests', 'tested', 'untested', 'check', 'asserts', 'failing', 'fail', 'huumtest']","['Please keep this test.', ""Why can't this test be part of the above one?"", 'Please add a test for this case Tests fixed']"
12,196,12_pr_prs_prt_separate,"['pr', 'prs', 'prt', 'separate', 'merge', 'merged', 'removed', 'lets', 'split', 'change']","['Can you move this to a separate PR please?', 'Separate PR please', 'This should not be here in this PR.']"
13,194,13_constants_constant_declare_numbers,"['constants', 'constant', 'declare', 'numbers', 'pattern', 'standard', 'bound', '7e', 'a20726d', 'strings']","['Use constants:', 'Please use constants for this', 'Please use constants']"
14,178,14_icon_icons_iconsjson_logo,"['icon', 'icons', 'iconsjson', 'logo', 'device', 'entity', 'remove', 'class', 'ui', 'smiley']","['Icon should be removed now it has a device class?', 'This entity has a device class, thus should not set an icon', 'This entity has an device class and should therefore not have an icon']"
15,141,15_removing_remove_removed_unused,"['removing', 'remove', 'removed', 'unused', 'gone', 'cleaned', 'appears', 'needed', 'handy', 'kept']","['Can also be removed', 'Can be removed', 'Not used, should be removed Removed']"
16,132,16_datetimedatetimeisoformat_datetime_sysstrptimetime_utc,"['datetimedatetimeisoformat', 'datetime', 'sysstrptimetime', 'utc', 'timestamps', 'timezone', 'fromtimestamp', 'timestamp', 'timezones', 'objstrftime']","[""I'd create a constant at the module level for a datetime instead. We aren't interested specifically in the start of local day datetime or using the today at template function. We want to test the as datetime template function. Then it will be easier to set a parameter for the expected result. I was struggling with this one. I want to test with a datetime object as input (so not a datetime string). But if create a datetime object, and use it as input, it will use the python representation, so something like datetime.datetime(2024, 1, 1, 0, 0, 0) and then the tests will throw an error that it gets an integer where a comma is expected. That's why I create a datetime object in the template itself. I did update the test. I fixed the date to 1st of January 2024 so the output can be expected. I could also use as datetime instead of today at but then I would be using the function I want to test in the test itself. today at and as datetime are the only options I could think of which give predictable output. now() will change while the test is ongoing. example with a datetime.datetime as input: Changed it to use as datetime for the input"", 'Does this return a timezone aware datetime object from the library? Yes, and in local time', ""Why do we do this? Wouldn't it be better if we saved the expiration as epoch? This way we don't have to trouble ourselves with the timezones, since its all UTC I had to introduce this, as otherwise I had problems with the reading of the config entry on line 41: I assume, in case of the setup or the migration the data is in the cache and without the conversion on line 82 would be available as datetime. Consequently, line 41 throws an error. Once saved in the file, it is read as str and therefore I read it in with fromisoformat . Instead of checking the type in async setup entry I thought it is more efficient to convert it in the config-flow (and now also in the migration). With regards to saving the epoch, I do not yet see how this could be realized, as one would then also have to save the starting date, otherwise we do not know when the epoch ends. Or am I missing anything? You know the epoch is x miliseconds after 01-01-1970? No, I was not aware that you are referring to this. Is there a difference in the result? I guess the datetime would have to be saved as timestamp() and then read with fromtimestamp() , but besides this I don't see an advantage. An advantage could be, if the whole logic would be adapted from current local time to UTC, but this would require a rewrite of the client and integration, and I'm not sure if this is reasonable in the case at hand. The biggest advantage is that epoch is in UTC, so you don't have the whole timezone mess as it just works So instead of saving 2024-12-31T10:00:00 00:00 you're saving 1735603200 . I always find to have a love hate relationship with iso date strings. Yes, it's a little less readable, but it saves some headaches with timezones and people switching timezones probably I agree, that if I would start from scratch, UTC might be easier. But if you agree, I would prefer to keep it as is (and perhaps adapt the logic in a separate PR at a later stage). The only point I don't get is why you say it would affect the library? (If I understood correctly). Also keep in mind, if all users now have an iso string in their entry data, a migration is required to migrate that to an epoch, so it would be benificial if we can avoid that migrationcode If I look at the changes, we could just replace the way to serialize the timestamps. Unless the expiration isn't always of type datetime, but then I am interested in why this type can be a different type. My point was, that at the moment the whole code is with localized datetime. The benefit of saving a UTC time (epoch or datetime-string) only applies, if the whole code would be converted from localized datetime to UTC (which would require an adoption of the library as well). As long as we have localized datetime in the middle, we have to handle conversion. I think you are right. But in my view this goes beyond the scope of this PR (which according to my understanding should be as narrow as possible), as said above, it would also need an adjustment of the library. To make my question a bit more explicit: Where does the timezone affect the library? I think I am missing that point here. If I understand the code we get a datetime object back, and we do the check if the token is still valid on the integration side, so I don't see where the lib should change. (Oh and I am with the intentions of getting this in, I'm just trying to do my due dilligence) Oh wait, you are passing the tz and expiration to the lib. I am wondering why, since we always refresh in the coordinator. The datetime returned from the library is local time ( datetime.now() ). For consistency purposes this should be amended to UTC, otherwise we still have to convert. Right I think I see the problem. Let's do it this way. But now the next thing I was wondering, why do we have the isinstance(credentials[CONF EXPIRATION], datetime) . Can it ever be not a datetime object? I think you are right. This would not be needed to be passed on. You got a point, at this point it should always be a datetime. Can we do without this check or does mypy complain then? In that case I would suggest using a cast mypy seems to be fine with the omission.""]"
17,130,17_yaml_configurationyaml_config_yarl,"['yaml', 'configurationyaml', 'config', 'yarl', 'configuration', 'import', 'importing', 'servicesyaml', 'imported', 'serviceyaml']","[""When converting to config flow this is usually replaced by an import of the configuration.yaml data into a config entry. Do you have an example of this? I don't really understand what you are meaning here. Do I have to create a config entry when loading the configuration.yaml? Yes, that's exactly right. You'll start the config flow at a special import step that will create a config entry based on the data from configuration.yaml. [This]( is an example in one of my open PRs of importing a configuration.yaml entry. See the setup function. It is for an integration configured at the top level of the configuration.yaml. Yours is configured as a platform so the details will be slightly different."", 'Can be removed as it is only used by the yaml configuration', ""There's no config YAML for this integration.""]"
18,124,18_intervals_polling_interval_intervall,"['intervals', 'polling', 'interval', 'intervall', 'scan', 'schedule', 'servicehomeassistantupdate', 'automation', 'updates', 'updating']","[""We don't allow scan interval as option. Every integration that supports config entries allows the user to turn off automatic polling and then the user can automate the update interval as needed with the entity service homeassistant.update entity ."", ""We don't allow scan interval as option. Every integration that supports config entries allows the user to turn off automatic polling and then the user can automate the update interval as needed with the entity service homeassistant.update entity ."", 'Why should users be able to change the polling interval? Is here no polling interval that you can set by default, that will work for every user?']"
19,123,19_simplified_simplify_simpler_reduced,"['simplified', 'simplify', 'simpler', 'reduced', 'clearer', 'easier', 'unclear', 'harder', 'shorter', 'vague']","['Can this be simplified?', 'It can be simplified.', 'Maybe a bit more descriptive?']"
20,119,20_assistant_homewizard_homeassistantreworktahoma_homeassistantcore,"['assistant', 'homewizard', 'homeassistantreworktahoma', 'homeassistantcore', 'homeassistant', 'webhooks', 'api', 'agent', 'home', 'automations']","['Is ""Home Assistant"" the USER APP NAME ? I\'d use that constant in that case.', 'We should get the default language from Home Assistant.', 'home-assistant core']"
21,117,21_alphabetically_alphabetical_alphabetized_alphabetize,"['alphabetically', 'alphabetical', 'alphabetized', 'alphabetize', 'alphabetic', 'alphabet', 'sorting', 'order', 'sort', 'ordered']","['Alphabetical order :)', 'Usually we sort this alphabetical', 'Could you sort in alphabetical order?']"
22,116,22_hassdatadomainconfig_hassdatadata_hassdatadomain_hassdatasetdefaultdomain,"['hassdatadomainconfig', 'hassdatadata', 'hassdatadomain', 'hassdatasetdefaultdomain', 'hassdatadomainentryentry', 'hassdatadomainentry', 'hass', 'hassdata', 'entrydataconf', 'storing']","['Only store in hass.data once you are sure the integration is going to set up', 'Please store data in hass.data[DOMAIN][entry.entry id] as a dataclass', ""It looks like a lot of the certificate logic could be moved into the hassmpris client library. We want Home Assistant to know as little as possible about the integration implementation details The thing is, this code (casting certs and keys from bytes to objects) is only needed because HASS insists on storing strings bytes -- the integration only deals in actual typed Python objects, like Certificate and Key . Short of moving these casting functions into helpers within the client, this actually belongs here and not in the MPRIS client. All of the logic of actually obtaining the certificate and pairing with the remote end is fully sealed up in the MPRIS client. What should I do? I'm 100 new to writing HASS code, I need your help. Thanks in advance. While we want to store configuration data in the config entry, certificates are a bit large to put in there since everything has to be serialized to JSON and back. Config entry storage isn't a database so every time its loaded saved all the data for all the config entries has to be processed. You can storage large data in .storage You can accomplish this in two different ways. You can pass the storage path to the library with hass.config.path . git grep for a few examples in the code base, and let it be responsible for reading the certificates from disk (in the executor please!) Also you can use homeassistant.helpers.storage to store the certificates. There is an example in homekit for aid storage. I almost always prefer the solution that has the least code in HA itself and offloads that to the PyPI package code since it reduces the review time to make changes to an integration and keeps things moving along. Roger that. The client module has no provision to store anything on disk -- it is stateless -- so I will factor out the certificate load save code to their own separate functions and proceed as you advised with regards to mirroring what homekit does.""]"
23,115,23_subclass_subclasses_class_classes,"['subclass', 'subclasses', 'class', 'classes', 'inheritance', 'classvar', 'inherit', 'base', 'constructor', 'superclass']","['base class', 'This should already be set by the parent class', 'Set by the parent class']"
24,114,24_block_tryblock_trydanerror_blocks,"['block', 'tryblock', 'trydanerror', 'blocks', 'wrap', 'fail', 'line', 'exception', 'exceptions', 'trycatch']","['Please only wrap the line that can raise in the try... except block. Use an else: block if needed.', 'Please only wrap the line that can raise in the try... except block. Use an else: block if needed. Done', 'Please only wrap the line that can raise in the try... except block. Use an else: block if needed.']"
25,113,25_deviceinfo_deviceclassrestart_deviceparent_devicecover,"['deviceinfo', 'deviceclassrestart', 'deviceparent', 'devicecover', 'devices', 'device', 'firmware', 'ios', 'selfdeviceapivapix', 'objectobject']","['Please return a DeviceInfo instead', 'Please return a DeviceInfo', 'Just set self. attr device info in your constructor. And use the DeviceInfo tuple from homeassistant.helpers.entity import DeviceInfo .']"
26,111,26_playback_media_playerpy_spotify,"['playback', 'media', 'playerpy', 'spotify', 'airplay', 'play', 'audio', 'music', 'radio', 'roonradio']","[""This needs to be used in the media player play media command too? When browsing with the Spotify media player itself, there's no config entry id added, it's only needed for users of spotify.async browse media . In the current codebase, only sonos needs to be updated."", 'Why does this need a new service? This sounds like something you can just pass to the play media service. I believe that the HA Media Player doesn\'t support the Roon concept of \'Radio\', thus may not be able to be neatly passed using the play media service. If you know of a neater way for this however, it would be greatly appreciated. The intent is to be able to start a Roon radio from a given artist or genre which is currently not possible. The RoonAPI Play Media function is: play media(self, zone or output id, path, action None, report error True) Where action can be: Null (for the default play action), or ""Play Now"", ""Queue"" or ""Start Radio"". The code here for its play media doesn\'t pass the \'action\' parameter to the roonApi play media function. In addition, there is no way to request the \'Start Radio\' action through the \'path\'. A separate service for \'Start Radio\' would allow the usage of this Roon concept. balloob is there a way to pass an extra parameter to play media ? There was a previous proposal to reuse the media type parameter for this which I didn t think you guys would be comfortable with. The Home Assistant Play Media API can process any incoming data. So you could have a URL format like roon-radio: chill-mix?artist Donnie . You can then expose these items via the media browser so users don\'t actually have to craft these URLs themselves. So given balloob\'s comments suggest you go back to your previous PR - and we find a way to delimit the action at the start or end of the current path string. One option would be to enhance the pyroon split path function to do this. Starting music in ""radio"" mode is pretty common and used by other (potential) HA integrations as well (e.g. spotify). A separate service is a bad idea imo bit passing an additional argument to the play media service call is great. It could even potentially be a new Enqueue Option ? My proposal would be if you could quickly draft an architecture discussion about adding this to the play media service as an additional parameter or enqueue option. Yes, the suggestion with constructing the custom uri is also possible but that would be a bit cumbersome for users to figure out in automations. Hi, I ve pulled together notes for an architecture discussion as a starting point, attempting to summarise the options suggested thus far and potential pros cons with each. Appreciate the support and assistance towards implementing this functionality that will be a really powerful enhancement allowing the selection of music to play through HA automations. Let me know if there s somewhere better to place this content for appropriate collaboration. The purpose for this architecture discussion is to collaboratively identify the best method to enhance the HA play media service to support requesting music to start in a radio mode. This mode is implemented differently by various music providers, however generally it is a way of starting music playing of a given Artist Song Genre and then the player continues to select tracks similar to the given source (rather than loading a list of tracks into the media player queue). I would personally use this to implement automations to play certain genre mixes of music at various times of the day, or even to allow playing of a random genre or artist mix with the press of a button. The HA media player currently supports two parameters related to starting music playing: path and a media type . Music providers may support the method of starting a radio mode in various implementation-specific ways. For example, the Roon music service supports this in their API call for play media by passing not only a path parameter, but also an action parameter. This action parameter specifies the play action and can either be passed as: Null (which uses a default play action); Play Now ; Queue or Start Radio . Using this parameter is the only way supported by the RoonAPI to start a Radio mode (the Roon API does support specifying a play action through the path parameter, however this is limited to a play action such as play artist or play genre but does not support specifying the Start Radio action). The HA Roon Integration currently passes the HA media player path parameter to the RoonAPI play media function without specifying the action parameter. Options to implement this within HA could be: Option 1: Reuse the HA media type parameter to pass to the Roon API as the action parameter in the Roon API play media function call. Thus a user could specify Start Radio as the media type , and the HA Roon integration media player code would be changed to pass this value to the Roon API call as the action parameter. Advantages of this are that it is using an existing parameter and is simple to implement. Disadvantages are that it only implements this for Roon media players (and not other music providers), and that it is a bit of a hack as the media type parameter is not intended to be used as a play action. In addition, it would not be obvious to users how to utilise this feature. Option 2: Delimit the action at the start or end of the path parameter, potentially enhancing the pyroon split path function to do this. Advantages of this are that it is using an existing parameter and is simple to implement. Disadvantages are that it would not be obvious to users how to utilise this feature. Option 3: Create a new HA service for the HA Roon Integration to perform a request to start a Roon radio . Advantages are that it creates a distinct service for this Roon specific functionality obvious to users and is relatively simple to implement. Disadvantages are that it only implements this for Roon media players (and not other music providers), thus services would need to be created uniquely for each music provider s HA Integration. Option 4: Use a URL format like roon-radio: that the AH Play Media API can process to make an appropriate call to the Roon API. Items could be exposed via the media browser so users don t actually have to craft the URLs themselves. I am not familiar with this approach, so would appreciate further collaboration on the pros cons of this option. Option 5: Add an additional argument to the HA Play Media service to directly support the play action request (aligning with the way the RoonAPI uses a specific parameter for this). Advantages are that it is obvious to users and would align the implementation of this capability across all media player implementations. Disadvantages are that it may not be supported by all music providers and may be more complex to implement as it impacts all media player integrations (and not just the HA Roon Integration). I\'d change the text a bit as this is a generic proposal for all media players, not specific to Roon. Option 6: Add Radio to the Enqueue enum, which is an existing option to the play media call. thanks, I\'ve made more generic and reordered the options (btw, I\'d appreciate advice on how where to raise this once were happy with the content): The purpose for this architecture discussion is to collaboratively identify the best method to enhance the HA media player\'s play media service to support requesting music to start in a radio mode. This mode is implemented differently by various music player providers, however generally it is a way of starting to play music of a given Artist Genre and then the player continuing to select tracks similar to the given source (rather than initially loading a list of tracks into the media player queue). The HA media player\'s play media service currently supports the following parameters related to starting music playing: \'media content id\' - The path ID of the content to play. Platform dependent. media content type - They type of content to play. \'enqueue\' - If the content should be played now or be added to the queue (Play now Play next Add to queue Play now and clear queue). \'announce\' - If the media should be played as an announcement (true false). Music providers may support the method of starting a radio mode in various implementation-specific ways. For example, the Roon music service supports this in their API call for play media by passing an action parameter to initiate this mode. This action parameter specifies the play action and can either be passed as: Null (which uses a default play action); Play Now ; Queue or Start Radio . Options to implement this within HA could be: Option 1: Add \'Play Radio\' to the \'Enqueue\' enumeration field as an option. Advantages are that this is an existing field in the play media call. Option 2: Add an additional field to the HA Play Media service to directly request to \'start radio\'. Option 3: Delimit the action at the start or end of the \'media content id\' \'path\' parameter, potentially enhancing the pyroon split path function to do this. Advantages of this are that it is using an existing parameter. Disadvantages are that it would not be as obvious to users how to utilise this feature. Option 4: Create a new HA service for each provider\'s media player integration to perform a request to start a \'radio . Advantages are that it creates a distinct service for this specific functionality. Disadvantages are that individual services would need to be created uniquely for each music provider s HA Integration and therfore not be standardised across HA media players. Option 5: Use a URL format like roon-radio: that the AH Play Media API can process to make an appropriate call to the Roon API. Items could be exposed via the media browser so users don t actually have to craft the URLs themselves. Thanks again for the support!', 'Move this and the other constants which are used by the media player platform to media player.py']"
